Label,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser
"Q41,4",411,0,0,0,0,0,4,2,2,0,0,0,0,0,"Heyse, Paul"
"Q41,5",393,0,0,0,0,0,2,1,2,0,0,0,0,0,"Heyse, Paul"
"Q41,7",408,0,0,0,0,0,3,1,2,0,0,0,0,0,"Heyse, Paul"
"Q42,1-4",474,10,17,1,0,0,5,1,2,12,6,1,0,0,"Heyse, Paul"
"Q42,11",117,4,0,0,1,0,11,1,2,0,0,0,0,0,"Heyse, Paul"
Q43,217,1,0,0,1,0,15,3,2,0,0,0,0,0,"Heyse, Paul"
Q44,279,60,16,2,5,0,58,4,1,22,10,0,0,0,"Heyse, Paul"
Q45,443,0,0,0,0,0,0,2,1,0,0,0,0,0,"Heyse, Paul"
Q46,347,0,0,0,0,0,8,1,10,0,0,0,0,0,"Heyse, Paul"
Q47,110,0,0,0,0,0,2,2,2,1,0,0,0,0,"Heyse, Paul"
Q48,270,9,6,1,0,0,17,2,1,9,0,2,0,0,"Hopfen, Hans"
Q49,426,86,14,1,1,0,90,2,2,21,21,2,0,0,"Hopfen, Hans"
"Q5,1,1",361,0,0,4,0,0,5,1,1,2,0,3,0,0,"Fontane, Theodor"
"Q5,1,2",494,0,0,0,0,0,3,1,1,0,0,0,0,0,"Fontane, Theodor"
"Q5,2,1",437,0,0,0,1,0,1,1,1,0,0,0,0,0,"Fontane, Theodor"
"Q5,2,2",619,0,0,0,0,0,2,1,1,0,0,0,0,0,"Fontane, Theodor"
Q50,235,0,0,0,0,0,3,2,2,0,0,0,0,0,"Lenau, Nikolaus"
Q51,363,0,5,0,2,0,2,3,2,2,2,3,0,0,"Lenau, Nikolaus"
Q52,372,1,0,0,2,0,4,3,2,0,0,0,0,0,"Lenau, Nikolaus"
Q53,289,0,0,0,0,0,3,1,2,0,0,0,0,0,"Leopardi, Giacomo "
Q54,207,6,2,1,1,0,5,3,1,2,0,5,0,0,"Lepel, Bernhard von"
Q55,157,14,3,0,0,0,1,2,1,2,2,1,0,0,"Mantegazza, Paolo "
Q56,414,16,3,0,4,0,1,2,1,22,1,1,0,9,[ohne Angabe]
Q57,558,0,0,0,0,0,3,2,2,0,0,0,0,0,"Pantenius, Theodor Hermann "
Q58,444,0,0,0,1,0,7,2,1,2,0,0,0,0,"Pantenius, Theodor Hermann "
Q59,378,3,1,0,0,0,1,1,2,0,0,0,0,0,"Pietsch, Ludwig"
Q6,426,0,0,2,2,0,0,2,1,0,0,1,0,0,"Fontane, Theodor"
Q60,170,44,16,0,2,0,12,2,2,1,0,0,0,0,"Pietsch, Ludwig"
"Q61,1",308,17,0,0,0,0,32,2,1,0,0,0,0,0,"Platen, August von "
"Q61,2",341,6,0,1,8,0,3,2,1,2,0,1,0,0,"Platen, August von "
"Q61,3",378,0,0,0,0,1,2,1,1,0,0,0,0,0,"Platen, August von "
"Q61,4",410,10,2,0,1,0,2,1,1,0,0,2,0,0,"Platen, August von "
Q62,218,0,0,0,6,0,0,2,2,1,0,0,0,0,"Rittershaus, Emil"
Q63,197,0,0,0,0,0,2,1,2,0,0,0,0,0,"Roquette, Otto "
Q64,169,21,5,0,5,0,2,2,1,10,19,0,0,0,"Roquette, Otto "
Q65,156,2,0,2,2,0,3,3,2,0,0,2,0,0,"Roquette, Otto "
"Q66,3-4",707,62,17,0,40,0,10,2,2,15,0,1,0,0,"Schiller, Friedrich von"
"Q66,5-6",812,41,15,0,37,0,51,4,2,5,3,1,0,0,"Schiller, Friedrich von"
"Q66,7-8",713,0,0,0,0,0,83,2,2,1,0,0,0,0,"Schiller, Friedrich von"
"Q67,1",253,0,0,0,0,0,3,1,5,0,0,0,0,0,"Storm, Theodor"
"Q67,2",211,0,0,0,0,0,6,2,2,0,0,0,0,0,"Storm, Theodor"
