level,x,y,ID,Verfasser,Seitenzahl,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,LeerTotal,AnstreichungTotal,UnterstreichungTotal,DurchstreichungTotal,SonstigeMarkierungTotal,ZusatzMaterialTotal,AnderesTotal,ProvenienzTotal,StempelTotal,KommentarTotal,BewertungTotal,TextkorrekturTotal,VarianteTotal,UebersetzungTotal,Bio
verfasser,-0.2248764759509199,0.4324054728400392,"Pantenius, Theodor Hermann","Pantenius, Theodor Hermann",1020,1002,0,0,0,1,0,10,4,3,2,0,0,0,0,1002,0,0,0,1,0,10,4,3,2,0,0,0,0,"Theodor Hermann Pantenius (* 22. Oktober 1843 in Mitau; † 16. November 1915 in Leipzig) war ein deutsch-baltischer Autor und Zeitschriftenredakteur, dessen schriftstellerisches Werk Stoffe aus seiner baltischen Heimat in Romanen und Novellen ausführlich behandelt."
verfasser,-0.5393782725482364,-0.8007663473390952,"Pietsch, Ludwig","Pietsch, Ludwig",646,548,47,17,0,2,0,13,3,4,1,0,0,0,0,548,47,17,0,2,0,13,3,4,1,0,0,0,0,"Ludwig Pietsch (* 25. Dezember 1824 in Danzig; † 27. November 1911 in Berlin) war ein deutscher Maler, Kunstschriftsteller und Feuilletonist in Berlin."
verfasser,0.15157700753946501,0.06636848974415673,"Platen, August von","Platen, August von",1548,1437,33,2,1,9,1,39,6,4,2,0,3,0,0,1437,33,2,1,9,1,39,6,4,2,0,3,0,0,"August Graf von Platen-Hallermünde (geboren als Graf Karl August Georg Maximilian von Platen-Hallermund) (* 24. Oktober 1796 in Ansbach, Ansbach-Bayreuth; † 5. Dezember 1835 in Syrakus, Königreich beider Sizilien) war ein deutscher Dichter."
verfasser,1.9261634588537195,-0.36048190494303634,"Riedel, A.F. ","Riedel, A.F. ",24,20,0,1,0,0,0,2,3,1,1,0,0,0,0,20,0,1,0,0,0,2,3,1,1,0,0,0,0,"Adolph Friedrich Johann Riedel (* 5. Dezember 1809 in Biendorf bei Neubukow; † 8. September 1872 in Berlin) war ein deutscher Archivar, Historiker und Politiker."
verfasser,-1.626233844904353,1.064681345521432,"Ritter, Benjamin","Ritter, Benjamin",1565,1510,1,0,1,2,0,16,2,2,3,0,1,0,0,1510,1,0,1,2,0,16,2,2,3,0,1,0,0,
verfasser,0.8791095224799571,0.4356122146266247,"Rittershaus, Emil","Rittershaus, Emil",283,218,0,0,0,6,0,0,2,2,1,0,0,0,0,218,0,0,0,6,0,0,2,2,1,0,0,0,0,"Friedrich Emil Rittershaus (* 3. April 1834 in Barmen (heute zu Wuppertal); † 8. März 1897 ebenda) war ein deutscher Kaufmann und Dichter. Er verfasste zahlreiche Erzählungen, Gedichte und Romane. Bis heute bekannt ist er vor allem als Verfasser des Westfalenliedes."
verfasser,0.7619916607557974,-0.7303852903007345,"Roquette, Otto","Roquette, Otto",576,522,23,5,2,7,0,7,6,5,10,19,2,0,0,522,23,5,2,7,0,7,6,5,10,19,2,0,0,Otto Roquette (* 19. April 1824 in Krotoschin bei Posen; † 18. März 1896 in Darmstadt) war ein deutscher Schriftsteller.
verfasser,-3.191785205101347,2.002512932118124,"Sachs, Karl","Sachs, Karl",2050,1743,0,0,0,2,0,168,2,3,1,0,0,0,0,1743,0,0,0,2,0,168,2,3,1,0,0,0,0,Karl Ernst August Sachs (* 31. März 1829 in Magdeburg; † 1. August 1909 in Brandenburg an der Havel) war ein deutscher Romanist sowie Lexikograph.
verfasser,4.828463798062525,-6.638370652809658,"Scherenberg, Christian Friedrich","Scherenberg, Christian Friedrich",544,491,11,12,23,4,0,5,6,2,0,0,27,0,0,491,11,12,23,4,0,5,6,2,0,0,27,0,0,Christian Friedrich Scherenberg (* 5. Mai 1798 in Stettin; † 9. September 1881 in Zehlendorf) war ein deutscher Dichter.
verfasser,-2.8808059794917584,-1.2307616682498563,"Schiller, Friedrich von","Schiller, Friedrich von",2632,2232,103,32,0,77,0,144,8,6,21,3,2,0,0,2232,103,32,0,77,0,144,8,6,21,3,2,0,0,"Johann Christoph Friedrich Schiller, ab 1802 von Schiller (* 10. November 1759 in Marbach am Neckar; † 9. Mai 1805 in Weimar), war ein Arzt, Dichter, Philosoph und Historiker. Er gilt als einer der bedeutendsten deutschen Dramatiker, Lyriker und Essayisten."
verfasser,0.6314316772970366,0.051010047257442306,"Spielhagen, Friedrich","Spielhagen, Friedrich",276,227,1,0,0,0,0,15,2,1,3,0,0,0,0,227,1,0,0,0,0,15,2,1,3,0,0,0,0,Friedrich Spielhagen (* 24. Februar 1829 in Magdeburg; † 25. Februar 1911 in Berlin) war ein deutscher Schriftsteller.
